Name,Category,Subcategory,Category Shopping Group,Product ID,Product URL,Price,Rating
Elephantastic Training Pants,Specialbuys,Baby & Toddler,Shop by Category,720686611906501,https://www.aldi.co.uk/elephantastic-training-pants/p/720686611906501,£6.99 £4.45 per 100g,4.2 out of 5 stars. 5 reviews
Pinky Ponk Wooden Shape Sorter,Specialbuys,Baby & Toddler,Shop by Category,702678583810001,https://www.aldi.co.uk/pinky-ponk-wooden-shape-sorter/p/702678583810001,£14.99 each,4.8 out of 5 stars. 13 reviews
Tiger Training Pants,Specialbuys,Baby & Toddler,Shop by Category,720686611906903,https://www.aldi.co.uk/tiger-training-pants/p/720686611906903,£6.99 £4.45 per 100g,4.2 out of 5 stars. 5 reviews
Snoopy Baby Bodysuits,Specialbuys,Baby & Toddler,Shop by Category,812754598060602,https://www.aldi.co.uk/snoopy-baby-bodysuits/p/812754598060602,£7.99 per pack,
Milk Baby No Feet Sleep Suit 3 Pack,Specialbuys,Baby & Toddler,Shop by Category,811675598059405,https://www.aldi.co.uk/milk-baby-no-feet-sleep-suit-3-pack/p/811675598059405,£6.99 per pack,4.3 out of 5 stars. 3 reviews
Milk No Feet Sleep Suit 3 Pack,Specialbuys,Baby & Toddler,Shop by Category,811675598059003,https://www.aldi.co.uk/milk-no-feet-sleep-suit-3-pack/p/811675598059003,£6.99 per pack,4.3 out of 5 stars. 3 reviews
Bing Wooden Carry Along,Specialbuys,Baby & Toddler,Shop by Category,702646599300602,https://www.aldi.co.uk/bing-wooden-carry-along/p/702646599300602,£10.99 each,4.7 out of 5 stars. 15 reviews
Disney Bambi Plush,Specialbuys,Baby & Toddler,Shop by Category,706677560136001,https://www.aldi.co.uk/disney-bambi-plush/p/706677560136001,£18.99 each,4.9 out of 5 stars. 20 reviews
White Cloud Plush Lullaby Nightlight,Specialbuys,Baby & Toddler,Shop by Category,718407598068903,https://www.aldi.co.uk/white-cloud-plush-lullaby-nightlight/p/718407598068903,£12.99 each,4.8 out of 5 stars. 4 reviews
Peppa Pig Dominoes,Specialbuys,Baby & Toddler,Shop by Category,711514598063906,https://www.aldi.co.uk/peppa-pig-dominoes/p/711514598063906,£8.99 each,
Toddler Reins Rabbit Backpack,Specialbuys,Baby & Toddler,Shop by Category,812752598060002,https://www.aldi.co.uk/toddler-reins-rabbit-backpack/p/812752598060002,£6.99 each,5.0 out of 5 stars. 5 reviews
Miffy Baby Bodysuits,Specialbuys,Baby & Toddler,Shop by Category,812754598060401,https://www.aldi.co.uk/miffy-baby-bodysuits/p/812754598060401,£7.99 per pack,
Heart Bamboo Muslin Cloths 8 Pack,Specialbuys,Baby & Toddler,Shop by Category,718501589969001,https://www.aldi.co.uk/heart-bamboo-muslin-cloths-8-pack/p/718501589969001,£8.99 each,1.7 out of 5 stars. 3 reviews
Farmer Friends Training Pants,Specialbuys,Baby & Toddler,Shop by Category,720686608812000,https://www.aldi.co.uk/farmer-friends-training-pants/p/720686608812000,£6.99 £4.45 per 100g,4.2 out of 5 stars. 5 reviews
Pink Star Plush Lullaby Nightlight,Specialbuys,Baby & Toddler,Shop by Category,718407598069305,https://www.aldi.co.uk/pink-star-plush-lullaby-nightlight/p/718407598069305,£12.99 each,4.8 out of 5 stars. 4 reviews
Star Wars Breakfast Set,Specialbuys,Baby & Toddler,Shop by Category,715418553454506,https://www.aldi.co.uk/star-wars-breakfast-set/p/715418553454506,£4.99 each,4.2 out of 5 stars. 5 reviews
Bing Stacking Train,Specialbuys,Baby & Toddler,Shop by Category,711514583807202,https://www.aldi.co.uk/bing-stacking-train/p/711514583807202,£8.99 each,
White Bamboo Muslin Cloths 8 Pack,Specialbuys,Baby & Toddler,Shop by Category,718501589969604,https://www.aldi.co.uk/white-bamboo-muslin-cloths-8-pack/p/718501589969604,£8.99 each,1.7 out of 5 stars. 3 reviews
Enormous Crocodile Floor Puzzle,Specialbuys,Baby & Toddler,Shop by Category,711437574530400,https://www.aldi.co.uk/enormous-crocodile-floor-puzzle/p/711437574530400,£7.99 each,4.8 out of 5 stars. 5 reviews
Blue Star Plush Lullaby Nightlight,Specialbuys,Baby & Toddler,Shop by Category,718407598069104,https://www.aldi.co.uk/blue-star-plush-lullaby-nightlight/p/718407598069104,£12.99 each,4.8 out of 5 stars. 4 reviews
Hey Duggee Stacking Train,Specialbuys,Baby & Toddler,Shop by Category,711514583806800,https://www.aldi.co.uk/hey-duggee-stacking-train/p/711514583806800,£8.99 each,
White & Grey Bamboo Muslin Cloths,Specialbuys,Baby & Toddler,Shop by Category,718501589969805,https://www.aldi.co.uk/white-%26-grey-bamboo-muslin-cloths/p/718501589969805,£8.99 each,1.7 out of 5 stars. 3 reviews
Grey Bamboo Muslin Cloths 8 Pack,Specialbuys,Baby & Toddler,Shop by Category,718501589968800,https://www.aldi.co.uk/grey-bamboo-muslin-cloths-8-pack/p/718501589968800,£8.99 each,1.7 out of 5 stars. 3 reviews
Fisher Price  Stacking Train,Specialbuys,Baby & Toddler,Shop by Category,711514598064107,https://www.aldi.co.uk/fisher-price-stacking-train/p/711514598064107,£8.99 each,
Blue Moon Plush Lullaby Nightlight,Specialbuys,Baby & Toddler,Shop by Category,718407578950900,https://www.aldi.co.uk/blue-moon-plush-lullaby-nightlight/p/718407578950900,£12.99 each,4.8 out of 5 stars. 4 reviews
Justice League Pre School Blanket,Specialbuys,Baby & Toddler,Shop by Category,717776598064301,https://www.aldi.co.uk/justice-league-pre-school-blanket/p/717776598064301,£8.99 each,
Pink Cloud Plush Lullaby Nightlight,Specialbuys,Baby & Toddler,Shop by Category,718407598068702,https://www.aldi.co.uk/pink-cloud-plush-lullaby-nightlight/p/718407598068702,£12.99 each,4.8 out of 5 stars. 4 reviews
Shark Snap Mini Travel Game,Specialbuys,Baby & Toddler,Shop by Category,077051470329819,https://www.aldi.co.uk/shark-snap-mini-travel-game/p/077051470329819,£2.99 each,
Hide-And-Seek Pig Acorn Wood Book,Specialbuys,Baby & Toddler,Shop by Category,702012465769806,https://www.aldi.co.uk/hide-and-seek-pig-acorn-wood-book/p/702012465769806,£2.49 each,
Usborne That's Not My Dragon Book,Specialbuys,Baby & Toddler,Shop by Category,715684545141001,https://www.aldi.co.uk/usborne-that%27s-not-my-dragon-book/p/715684545141001,£2.99 each,
Disney Princess Potty,Specialbuys,Baby & Toddler,Shop by Category,718834597819500,https://www.aldi.co.uk/disney-princess-potty/p/718834597819500,£3.99 each,
Mamia Car Mirror,Specialbuys,Baby & Toddler,Shop by Category,718252598066902,https://www.aldi.co.uk/mamia-car-mirror/p/718252598066902,£7.49 each,3.7 out of 5 stars. 3 reviews
Nuby Zebra Teething Comforter,Specialbuys,Baby & Toddler,Shop by Category,718781603139501,https://www.aldi.co.uk/nuby-zebra-teething-comforter/p/718781603139501,£3.99 each,
Get Set Go Animals Flashcards,Specialbuys,Baby & Toddler,Shop by Category,718911598076502,https://www.aldi.co.uk/get-set-go-animals-flashcards/p/718911598076502,£2.49 each,
Usborne That's Not My Panda Book,Specialbuys,Baby & Toddler,Shop by Category,715684545141604,https://www.aldi.co.uk/usborne-that%27s-not-my-panda-book/p/715684545141604,£2.99 each,
Usborne That's Not My Hamster Book,Specialbuys,Baby & Toddler,Shop by Category,715684545141403,https://www.aldi.co.uk/usborne-that%27s-not-my-hamster-book/p/715684545141403,£2.99 each,
Get Set Go 123 Flashcards,Specialbuys,Baby & Toddler,Shop by Category,718911598076301,https://www.aldi.co.uk/get-set-go-123-flashcards/p/718911598076301,£2.49 each,
Mamia Travel Potty,Specialbuys,Baby & Toddler,Shop by Category,719543596230200,https://www.aldi.co.uk/mamia-travel-potty/p/719543596230200,£12.99 each,3.0 out of 5 stars. 1 review
Get Set Go ABC Flashcards,Specialbuys,Baby & Toddler,Shop by Category,718911578844200,https://www.aldi.co.uk/get-set-go-abc-flashcards/p/718911578844200,£2.49 each,
Usborne That's Not My Elephant Book,Specialbuys,Baby & Toddler,Shop by Category,715684545141202,https://www.aldi.co.uk/usborne-that%27s-not-my-elephant-book/p/715684545141202,£2.99 each,
Blue Soothers 0-6 Months 2 Pack,Specialbuys,Baby & Toddler,Shop by Category,016442302487413,https://www.aldi.co.uk/blue-soothers-0-6-months-2-pack/p/016442302487413,£1.99 each,5.0 out of 5 stars. 1 review
Dinosaur Dribble Bibs 3 Pack,Specialbuys,Baby & Toddler,Shop by Category,017851302493007,https://www.aldi.co.uk/dinosaur-dribble-bibs-3-pack/p/017851302493007,£2.99 £1.00 each,5.0 out of 5 stars. 1 review
Bunny Dribble Bibs 3 Pack,Specialbuys,Baby & Toddler,Shop by Category,017851302492806,https://www.aldi.co.uk/bunny-dribble-bibs-3-pack/p/017851302492806,£2.99 £1.00 each,5.0 out of 5 stars. 1 review
Ladies' Navy Cosy Pyjamas,Specialbuys,Clothing,Shop by Category,808609537553101,https://www.aldi.co.uk/ladies%27-navy-cosy-pyjamas/p/808609537553101,£3.99 each,4.0 out of 5 stars. 68 reviews
Ladies' Brown Country Boots,Specialbuys,Clothing,Shop by Category,802711574520600,https://www.aldi.co.uk/ladies%27-brown-country-boots/p/802711574520600,£44.99 per pair,4.3 out of 5 stars. 105 reviews
Men's Liverpool Football Pyjamas,Specialbuys,Clothing,Shop by Category,809915561216702,https://www.aldi.co.uk/men%27s-liverpool-football-pyjamas/p/809915561216702,£6.99 each,4.6 out of 5 stars. 101 reviews
Ladies' Black Snug Boots,Specialbuys,Clothing,Shop by Category,809644573843800,https://www.aldi.co.uk/ladies%27-black-snug-boots/p/809644573843800,£7.99 per pair,4.5 out of 5 stars. 106 reviews
Men's Black Trekking Boots,Specialbuys,Clothing,Shop by Category,811271605051900,https://www.aldi.co.uk/men%27s-black-trekking-boots/p/811271605051900,£19.99 per pair,3.0 out of 5 stars. 2 reviews
Ladies' Red Cosy Pyjamas,Specialbuys,Clothing,Shop by Category,808609532749300,https://www.aldi.co.uk/ladies%27-red-cosy-pyjamas/p/808609532749300,£3.99 each,4.0 out of 5 stars. 68 reviews
Ladies' Grey Trekking Boots,Specialbuys,Clothing,Shop by Category,811270574512400,https://www.aldi.co.uk/ladies%27-grey-trekking-boots/p/811270574512400,£19.99 per pair,4.2 out of 5 stars. 25 reviews
Men's Manchester United Pyjamas,Specialbuys,Clothing,Shop by Category,809915562010200,https://www.aldi.co.uk/men%27s-manchester-united-pyjamas/p/809915562010200,£6.99 each,4.6 out of 5 stars. 101 reviews
Avenue Rose Floral Maxi Dress,Specialbuys,Clothing,Shop by Category,804241482312901,https://www.aldi.co.uk/avenue-rose-floral-maxi-dress/p/804241482312901,£7.99 each,4.4 out of 5 stars. 9 reviews
Children's Liverpool Pyjamas,Specialbuys,Clothing,Shop by Category,809952538508800,https://www.aldi.co.uk/children%27s-liverpool-pyjamas/p/809952538508800,£3.99 each,4.6 out of 5 stars. 53 reviews
Crane Men's Black Trousers,Specialbuys,Clothing,Shop by Category,802003513554401,https://www.aldi.co.uk/crane-men%27s-black-trousers/p/802003513554401,£17.99 each,4.6 out of 5 stars. 108 reviews
Avenue Grey Floral Maxi Dress,Specialbuys,Clothing,Shop by Category,804241482313303,https://www.aldi.co.uk/avenue-grey-floral-maxi-dress/p/804241482313303,£7.99 each,4.4 out of 5 stars. 9 reviews
Children's Manchester United Pyjamas,Specialbuys,Clothing,Shop by Category,809952537573303,https://www.aldi.co.uk/children%27s-manchester-united-pyjamas/p/809952537573303,£3.99 each,4.6 out of 5 stars. 53 reviews
Ladies' Green Gardening Fleece,Specialbuys,Clothing,Shop by Category,814100594023202,https://www.aldi.co.uk/ladies%27-green-gardening-fleece/p/814100594023202,£9.99 each,4.6 out of 5 stars. 16 reviews
Ladies' Black Friends Pyjamas,Specialbuys,Clothing,Shop by Category,806833532749700,https://www.aldi.co.uk/ladies%27-black-friends-pyjamas/p/806833532749700,£6.99 each,4.7 out of 5 stars. 37 reviews
Men's Anthracite Gardening Fleece,Specialbuys,Clothing,Shop by Category,814100594023001,https://www.aldi.co.uk/men%27s-anthracite-gardening-fleece/p/814100594023001,£9.99 each,4.6 out of 5 stars. 16 reviews
